latitude,longitude,Bus_lon,Bus_lat
-6.204271317,53.30654437,53.348856,-6.247646
-6.286895,53.3585263,53.342091,-6.237206
-6.344877524,53.34838472,53.342063,-6.259898
-6.378992915,53.33700422,,
-6.276821,53.344451,,
-6.393587,53.324796,,
-6.150398,53.401203,,
-6.243946552,53.37607094,,
-6.23634088,53.34284249,,
-6.250574,53.331222,,
-6.29199028,53.36074563,,
-6.239762306,53.36520488,,
-6.3013582,53.4037965,,
-6.060108,53.383039,,
-6.320743561,53.34009833,,
-6.322549,53.337573,,
-6.480152607,53.27807075,,
-6.214853,53.278246,,
-6.277640002,53.348423,,
-6.2208578,53.2591817,,
-6.3444421,53.3286528,,
-6.203047851,53.36880353,,
-6.2964103,53.3146957,,
-6.156721115,53.2870638,,
-6.37651004,53.39304105,,
-6.431357,53.28331,,
-6.4533381,53.3363358,,
-6.20202899,53.60820494,,
-6.248789,53.280687,,
-6.18633,53.5918856,,
-6.1641457,53.2629969,,
-6.17623043,53.25066533,,
-6.392583847,53.36408515,,
-6.392669678,53.36429514,,
-6.2128531,53.36491,,
-6.273785,53.336637,,
-6.34093,53.279748,,
-6.153901,53.38936,,
-6.420899928,53.34173749,,
-6.461234,53.349228,,
-6.1964998,53.4521505,,
-6.2821108,53.3600229,,
-6.252644,53.329035,,
-6.287436,53.279717,,
-6.2833481,53.2900204,,
-6.274982,53.289912,,
-6.3214171,53.247934,,
-6.267957687,53.31630055,,
-6.261992,53.324473,,
-6.275392771,53.3208766,,
-6.2323005,53.3414546,,
-6.116004,53.286115,,
-6.243109703,53.38884562,,
-6.12736702,53.22508901,,
-6.280152,53.336612,,
-6.207452,53.283097,,
-6.332161,53.318299,,
-6.311094,53.376839,,
-6.238571405,53.33235302,,
-6.371345409,53.39238858,,
-6.159081459,53.28057399,,
-6.1454823,53.2479619,,
-6.404871047,53.37232814,,
-6.33733,53.372272,,
-6.150646523,53.40189784,,
-6.149917692,53.48644084,,
-6.2679116,53.3524931,,
-6.281982,53.336216,,
-6.269565753,53.34203447,,
-6.2839811,53.3453687,,
-6.2421006,53.2887303,,
-6.243908,53.282722,,
-6.140461564,53.26841492,,
-6.13528,53.29495,,
-6.3409526,53.2808294,,
-6.239322424,53.34536998,,
-6.320406,53.339978,,
-6.3046459,53.3412598,,
-6.431897,53.355552,,
-6.2478926,53.3141336,,
-6.278393,53.292416,,
-6.279437542,53.29191233,,
-6.273978,53.312983,,
-6.26738,53.312567,,
-6.135134697,53.21167414,,
-6.4456744,53.278443,,
-6.251774,53.40655,,
-6.2273197,53.3988669,,
-6.191299,53.281376,,
-6.2130442,53.4632285,,
-6.23488605,53.44479726,,
-6.266817749,53.34454373,,
-6.323805,53.30659,,
-6.3020904,53.3095582,,
-6.1269047,53.2849681,,
-6.2712559,53.3664241,,
-6.330104,53.280745,,
-6.328657,53.284654,,
-6.311093,53.366122,,
-6.521022,53.282356,,
-6.213028,53.326973,,
-6.222960949,53.45891376,,
-6.3792791,53.3008734,,
-6.324832,53.303419,,
-6.3462167,53.346636,,
-6.425392628,53.28249695,,
-6.1847113,53.2768442,,
-6.4612465,53.3482686,,
-6.490354,53.298003,,
-6.317511255,53.27265474,,
-6.209700108,53.44401703,,
-6.2073999,53.3842005,,
-6.1865759,53.6098157,,
-6.1984147,53.6141132,,
-6.199293137,53.61490087,,
-6.2017541,53.6083378,,
-6.1256235,53.3956399,,
-6.3334109,53.2730464,,
-6.343705,53.271519,,
-6.355128,53.336659,,
-6.3510548,53.3419786,,
-6.158908,53.265387,,
-6.1588355,53.2691319,,
-6.188438237,53.29180491,,
-6.173692,53.280951,,
-6.3813359,53.3946714,,
-6.35605216,53.26045764,,
-6.437844955,53.24813606,,
-6.4101481,53.2788435,,
-6.1477915,53.2634793,,
-6.1444254,53.2581018,,
-6.2852908,53.3675431,,
-6.3007272,53.3713615,,
-6.28329,53.36218,,
-6.297139,53.362438,,
-6.2971339,53.3624386,,
-6.191891,53.259109,,
-6.178407,53.247944,,
-6.392771816,53.36436761,,
-6.236969,53.335892,,
-6.1647419,53.3986246,,
-6.378225,53.321696,,
-6.3974351,53.3153161,,
-6.407221,53.308574,,
-6.408208,53.3859544,,
-6.187909,53.359478,,
-6.315445,53.321071,,
-6.296173,53.331123,,
-6.29594,53.330822,,
-6.10611,53.280604,,
-6.108162,53.280688,,
-6.112611,53.279353,,
-6.102064,53.270026,,
-6.114787,53.271806,,
-6.114985,53.280739,,
-6.253709,53.310959,,
-6.261931,53.310815,,
-6.141048,53.49458026,,
-6.238220866,53.32201366,,
-6.329001,53.32953,,
-6.240389,53.379035,,
-6.243082881,53.34380393,,
-6.295959,53.340582,,
-6.246698499,53.29438769,,
-6.152071,53.278048,,
-6.14849,53.280715,,
-6.175469,53.255718,,
-6.163971,53.275722,,
-6.1716112,53.2730099,,
-6.274476,53.378193,,
-6.2823501,53.3961507,,
-6.268429756,53.36832575,,
-6.1269047,53.2849681,,
-6.1295577,53.2809758,,
-6.225072,53.291023,,
-6.224889,53.290082,,
-6.063483789,53.37415304,,
-6.121513,53.259766,,
-6.118417,53.266444,,
-6.121226,53.245009,,
-6.1236395,53.25953464,,
-6.1226744,53.2602488,,
-6.317718,53.341645,,
-6.3074635,53.3411693,,
-6.3551,53.301052,,
-6.20746851,53.24988628,,
-6.3734835,53.3023266,,
-6.31914,53.288348,,
-6.31927,53.288332,,
-6.311035,53.275512,,
-6.308161,53.285424,,
-6.323116,53.280142,,
-6.437237,53.335696,,
-6.450463,53.339209,,
-6.4277067,53.3436486,,
-6.4379392,53.3413659,,
-6.480849,53.356983,,
-7.8516948,51.9527196,,
-6.1529604,53.2916771,,
-6.145377,53.293725,,
-6.215499,53.293051,,
-6.4038063,53.3984057,,
-6.288306,53.586377,,
-6.284207832,53.58292136,,
-6.312225985,53.36996894,,
-6.289033,53.351404,,
-6.490988731,53.29777344,,
-6.277960408,53.35846316,,
-6.239347905,53.35814822,,
-6.3724855,53.3475833,,
-6.3704609,53.3509194,,
-6.1796408,53.3907538,,
-6.177428633,53.38169028,,
-6.2541359,53.3222395,,
-6.25197,53.321566,,
-6.254356,53.324593,,
-6.4695473,53.2776446,,
-6.298934,53.294927,,
-6.2829817,53.3055096,,
-6.28479036,53.28928936,,
-6.292058,53.296688,,
-6.261754713,53.26922965,,
-6.304372,53.292988,,
-6.291073,53.283827,,
-6.278826,53.302798,,
-6.285385,53.298695,,
-6.279992,53.303718,,
-6.2870121,53.29447747,,
-6.3033286,53.2920747,,
-6.279907,53.316659,,
-6.279845,53.316724,,
-6.269859,53.317246,,
-6.276528,53.315165,,
-6.273627,53.316969,,
-6.263304,53.305114,,
-6.135587,53.210309,,
-6.277828217,53.32030392,,
-6.263547,53.313928,,
-6.272549,53.321701,,
-6.268590689,53.32428589,,
-6.440802813,53.28214202,,
-6.11104,53.285732,,
-6.117693,53.279805,,
-6.2172558,53.3340221,,
-6.214399,53.326041,,
-6.2143,53.329374,,
-6.260049,53.392006,,
-6.261959471,53.39202622,,
-6.121017,53.22811,,
-6.285224,53.331097,,
-6.282482979,53.33539334,,
-6.20591,53.25138,,
-6.219656,53.284356,,
-6.2848556,53.3509035,,
-6.283072,53.353333,,
-6.28303,53.350506,,
-6.284338082,53.35244751,,
-6.2397822,53.4739449,,
-6.313617,53.462408,,
-6.3838123,53.2897405,,
-6.369783,53.273303,,
-6.3579492,53.2839808,,
-6.353919,53.2835618,,
-6.2799,53.31355,,
-6.287741,53.305392,,
-6.30667,53.306621,,
-6.286191,53.307548,,
-6.288573,53.314815,,
-6.279262,53.339671,,
-6.3231614,53.324876,,
-6.36449039,53.47406772,,
-6.402854025,53.47943803,,
-6.263171,53.39653,,
-6.2639642,53.3967384,,
-6.2940012,53.3490118,,
-6.293773,53.3486957,,
-6.2118513,53.3842782,,
-6.212666631,53.3830212,,
-6.1999705,53.3815093,,
-6.2118513,53.3842782,,
-6.1999705,53.3815093,,
-6.31828,53.376074,,
-6.326178,53.3760835,,
-6.326258,53.375771,,
-6.3110887,53.37684,,
-6.324101,53.3766,,
-6.317532,53.377553,,
-6.316816807,53.37606326,,
-6.3125301,53.3771454,,
-6.317248106,53.37644728,,
-6.332503,53.376067,,
-6.328107,53.378241,,
-6.3177455,53.3759207,,
-6.312202,53.377424,,
-6.324129,53.376935,,
-6.310791,53.377402,,
-6.326577,53.375898,,
-6.3273992,53.3783963,,
-6.3607701,53.3724154,,
-6.3169335,53.3767781,,
-6.3313701,53.3760965,,
-6.317916,53.376955,,
-6.1771012,53.6022058,,
-6.197061539,53.61165488,,
-6.19078669,53.61017563,,
-6.1820533,53.6112258,,
-6.207575798,53.61194767,,
-6.188294,53.613292,,
-6.1820534,53.6112258,,
-6.204292774,53.6130806,,
-6.202313,53.613277,,
-6.203992281,53.61368023,,
-6.1910415,53.6095329,,
-6.204976737,53.61319676,,
-6.204859703,53.61396044,,
-6.211522,53.6112689,,
-6.1471286,53.3988429,,
-6.125066,53.39393,,
-6.1501378,53.4509236,,
-6.253690303,53.27409939,,
-6.256855,53.273494,,
-6.25481,53.271691,,
-6.225157,53.328873,,
-6.250117,53.331135,,
-6.237329,53.329463,,
-6.229577,53.331968,,
-6.229290962,53.33351266,,
-6.235814095,53.33789212,,
-6.243251,53.334802,,
-6.2389174,53.3382356,,
-6.231732713,53.32735716,,
-6.232338,53.33439,,
-6.23705864,53.33831748,,
-6.221032965,53.32702663,,
-9.084946876,53.26867067,,
-6.237334,53.329462,,
-6.226594,53.320048,,
-6.223166,53.327397,,
-6.229183,53.333042,,
-6.2399246,53.3288165,,
-6.242268,53.335479,,
-6.234698296,53.33840717,,
-6.237038,53.334012,,
-6.2502784,53.3313536,,
-6.237625,53.333191,,
-6.203515,53.314251,,
-6.246873,53.331364,,
-6.232872392,53.32484616,,
-6.238496304,53.33225691,,
-6.209131,53.318777,,
-6.242444515,53.33566529,,
-6.336933374,53.26905496,,
-6.339540482,53.2751197,,
-6.337349653,53.26950443,,
-6.328556,53.270773,,
-6.35471,53.3369381,,
-6.262218133,53.39425456,,
-6.265192,53.400287,,
-6.265073,53.400369,,
-6.261799335,53.40058763,,
-6.190264,53.300635,,
-6.167539,53.294196,,
-6.167381,53.294007,,
-6.203033,53.305584,,
-6.186037,53.279924,,
-6.202898,53.303761,,
-6.1860366,53.2799235,,
-6.16421,53.288808,,
-6.202932,53.297284,,
-6.196078,53.299496,,
-6.186874509,53.30370071,,
-6.163275,53.288031,,
-6.193632,53.292879,,
-6.179680824,53.2928358,,
-6.176109,53.288084,,
-6.162841,53.28773,,
-6.172739,53.300234,,
-6.187647,53.302735,,
-6.193968,53.292303,,
-6.194955061,53.29331312,,
-6.193968,53.292303,,
-6.17913,53.293002,,
-6.194593906,53.29791451,,
-6.390492,53.388349,,
-6.372043,53.392132,,
-6.372278,53.393582,,
-6.394872,53.391374,,
-6.393991,53.38716,,
-6.378059,53.392766,,
-6.371149449,53.39599207,,
-6.3932206,53.3879699,,
-6.311162,53.377106,,
-6.392209,53.387894,,
-6.367453,53.391653,,
-6.394561998,53.3915159,,
-6.203946,53.306597,,
-6.203946,53.306597,,
-6.204871,53.300264,,
-6.199283,53.301604,,
-6.20332,53.311763,,
-6.203874,53.299941,,
-6.1461739,53.2474418,,
-6.145793,53.247443,,
-6.143271,53.250159,,
-6.145937,53.247393,,
-6.1431308,53.2464763,,
-6.1498759,53.2566735,,
-6.1439227,53.2504298,,
-6.1442133,53.2473376,,
-6.1439227,53.2504298,,
-6.1442133,53.2473376,,
-6.151994,53.261301,,
-6.392347813,53.3773894,,
-6.179702282,53.24781921,,
-6.177318,53.24782,,
-6.178650856,53.24754958,,
-6.178650856,53.24754958,,
-6.178650856,53.24754958,,
-6.3628851,53.3671693,,
-6.3673502,53.38087,,
-6.402829885,53.37357727,,
-6.367594,53.371248,,
-6.367124,53.382113,,
-6.3393014,53.3727265,,
-6.336233,53.373164,,
-6.402722718,53.37215514,,
-6.339690915,53.37233649,,
-6.3706031,53.3720781,,
-6.402224,53.372686,,
-6.363798,53.374702,,
-6.401902,53.376992,,
-6.401656,53.376645,,
-6.3628851,53.3671693,,
-6.3462167,53.346636,,
-6.3452622,53.3493249,,
-6.346273,53.346079,,
-6.344352397,53.34840921,,
-6.345679853,53.34983251,,
-6.3796487,53.3364602,,
-6.379538,53.3368541,,
-6.3811998,53.3377332,,
-6.275371313,53.34045866,,
-6.273171902,53.33926557,,
-6.271138,53.342332,,
-6.275770159,53.33776066,,
-6.274781227,53.34285274,,
-6.2710628,53.3434826,,
-6.4254783,53.282338,,
-6.424485886,53.28322465,,
-6.417708,53.277482,,
-6.42640278,53.2828486,,
-6.3034682,53.2982762,,
-6.425770162,53.28322547,,
-6.370611191,53.27309105,,
-6.4277612,53.2832416,,
-6.3703408,53.2736464,,
-6.4183737,53.2780293,,
-6.418180581,53.27818326,,
-6.4145233,53.277086,,
-6.4288329,53.2849836,,
-6.423837705,53.28432568,,
-6.4201423,53.2969872,,
-6.422734022,53.28359253,,
-6.181171917,53.40407402,,
-6.182663441,53.39984817,,
-6.181247234,53.40043667,,
-6.181569099,53.39945156,,
-6.1801432,53.404221,,
-6.182540059,53.39987375,,
-6.1790387,53.4047914,,
-6.1801432,53.404221,,
-6.180496,53.404445,,
-6.401274,53.325236,,
-6.3980476,53.3443936,,
-6.382713318,53.32775641,,
-6.393099,53.3243492,,
-6.393099,53.3243492,,
-6.393125,53.324418,,
-6.393125,53.324418,,
-6.4005664,53.3243671,,
-6.394804,53.326247,,
-6.382627487,53.32783331,,
-6.424026,53.324034,,
-6.393030655,53.32412858,,
-6.424026,53.324034,,
-6.371244,53.3188301,,
-6.3924925,53.32422997,,
-6.382842064,53.32775641,,
-6.371244,53.3188301,,
-6.3976682,53.3450848,,
-6.371244,53.3188301,,
-6.371244,53.3188301,,
-6.383713001,53.32792072,,
-6.443842,53.406686,,
-6.443674564,53.40749168,,
-6.444270627,53.40802547,,
-6.443524361,53.4079074,,
-6.4285762,53.3980007,,
-6.154628992,53.40012963,,
-6.1515643,53.4022629,,
-6.150158,53.400704,,
-6.154519106,53.40227368,,
-6.214169,53.408532,,
-6.215434,53.405249,,
-6.215772629,53.40620613,,
-6.403224526,53.3809497,,
-6.3986169,53.3800057,,
-6.399643421,53.3800902,,
-6.402837862,53.38082902,,
-6.430312905,53.39140321,,
-6.2280041,53.3003154,,
-6.2302652,53.2980183,,
-6.238638,53.305992,,
-6.228462,53.300665,,
-6.220439,53.298988,,
-6.190824,53.368391,,
-6.182091,53.363218,,
-6.2192637,53.3661718,,
-6.183379,53.363147,,
-6.183251025,53.36308634,,
-6.197391,53.360758,,
-6.180388,53.362431,,
-6.17951,53.363042,,
-6.193937,53.363522,,
-6.2192637,53.3661718,,
-6.181068,53.361576,,
-6.219809,53.364468,,
-6.2192637,53.3661718,,
-6.193908,53.363693,,
-6.182180643,53.36306335,,
-6.226734817,53.39868713,,
-6.104106903,53.28374134,,
-6.097136,53.271828,,
-6.097334,53.272257,,
-6.104621887,53.28388887,,
-6.0933777,53.2738298,,
-6.2562288,53.3124905,,
-6.25605,53.31259,,
-6.253796111,53.30993907,,
-6.148039,53.487679,,
-6.155225,53.488196,,
-6.149904,53.484926,,
-6.152080894,53.48731461,,
-6.15187,53.487338,,
-6.155144,53.488397,,
-6.17487,53.493282,,
-6.159736,53.487939,,
-6.150197983,53.48701139,,
-6.149579,53.487323,,
-6.15938,53.48901,,
-6.157247,53.489186,,
-6.2240513,53.3122999,,
-6.246446,53.325751,,
-6.2150244,53.3184299,,
-6.22625,53.313185,,
-6.244422,53.325878,,
-6.231404,53.316417,,
-6.244128,53.325695,,
-6.221651,53.31133,,
-6.231265,53.319599,,
-6.243549,53.327477,,
-6.246082,53.325952,,
-6.24618205,53.3261748,,
-6.2301694,53.318946,,
-6.2591388,53.3658607,,
-6.2369135,53.373804,,
-6.2433479,53.3641913,,
-6.23528823,53.37969805,,
-6.243560314,53.37681338,,
-6.250255108,53.37375393,,
-6.244489924,53.37602446,,
-6.249442,53.363268,,
-6.248078,53.364312,,
-6.244433,53.375934,,
-6.259948,53.365144,,
-6.242748,53.377014,,
-6.24674836,53.36426287,,
-6.263696,53.347678,,
-6.2678916,53.3464158,,
-6.26723,53.35162,,
-6.238143,53.349776,,
-6.261281633,53.34709825,,
-6.264864,53.355418,,
-6.238759412,53.34988461,,
-6.2631109,53.3467588,,
-6.258349,53.353989,,
-6.25328,53.351397,,
-6.258349,53.353989,,
-6.2867838,53.291295,,
-6.261557365,53.34749406,,
-6.231125636,53.34985328,,
-6.2679116,53.3524931,,
-6.256096198,53.35020001,,
-6.25521183,53.35162581,,
-6.25838534,53.35580388,,
-6.264247656,53.35111489,,
-6.23553478,53.34813375,,
-6.26421065,53.35096999,,
-6.251306534,53.35090995,,
-6.2631109,53.3467588,,
-6.268912,53.3492476,,
-6.267827895,53.3493997,,
-6.2661897,53.346945,,
-6.263412684,53.34785425,,
-6.257641,53.355563,,
-6.247937679,53.34965216,,
-6.2576361,53.3555635,,
-6.250616,53.352433,,
-6.251027584,53.35265185,,
-6.270596981,53.35095863,,
-6.258709431,53.35408631,,
-6.259782314,53.35350997,,
-6.266321845,53.34745324,,
-6.260423,53.331932,,
-6.247449,53.344305,,
-6.254889965,53.34678546,,
-6.24148,53.338592,,
-6.269177,53.343546,,
-6.264516,53.332334,,
-6.247719,53.345492,,
-6.261799673,53.33702041,,
-6.246880301,53.33467877,,
-6.254869672,53.34575054,,
-6.243712888,53.34337732,,
-6.254845,53.345728,,
-6.246880301,53.33467877,,
-6.246880301,53.33467877,,
-6.260528,53.346417,,
-6.245362759,53.33589592,,
-6.236797,53.345488,,
-6.247912,53.345497,,
-6.254845,53.345728,,
-6.265956759,53.33888762,,
-6.268463,53.3435916,,
-6.2684952,53.3449854,,
-6.243598,53.340887,,
-6.2673661,53.3466904,,
-6.244461536,53.33889403,,
-6.2676874,53.3441377,,
-6.250917,53.338109,,
-6.2379528,53.345777,,
-6.225339694,53.33353335,,
-6.2271879,53.32933535,,
-6.234548,53.338535,,
-6.228739,53.333463,,
-6.233056784,53.3246661,,
-6.228739,53.333463,,
-6.231676,53.341598,,
-6.205135471,53.31286294,,
-6.2345117,53.3413807,,
-6.232233346,53.32493311,,
-6.232233346,53.32493311,,
-6.2815779,53.3498066,,
-6.285193847,53.34745866,,
-6.268969259,53.35682426,,
-6.275717,53.346421,,
-6.272863,53.349099,,
-6.28332818,53.34735448,,
-6.275083848,53.3514087,,
-6.2885935,53.3366225,,
-6.2758007,53.3390596,,
-6.267985,53.339878,,
-6.287838953,53.33639207,,
-6.2797282,53.3383511,,
-6.282935143,53.34572226,,
-6.270704269,53.33624827,,
-6.2834408,53.3456774,,
-6.288737,53.336697,,
-6.287394,53.33819,,
-6.267985,53.339878,,
-6.280268,53.33827,,
-6.282556,53.345849,,
-6.2822162,53.3379655,,
-6.2763095,53.340676,,
-6.279808,53.338641,,
-6.28764,53.33842,,
-6.275003,53.33318,,
-6.2797282,53.3383511,,
-6.282283,53.33655,,
-6.26682198,53.33448123,,
-6.273809,53.339936,,
-6.2835266,53.3464802,,
-6.280894,53.346079,,
-6.295275,53.347226,,
-6.2696934,53.3396035,,
-6.2809393,53.3458886,,
-6.2885935,53.3366225,,
-6.274587,53.335596,,
-6.276687896,53.34530023,,
-6.286868,53.337217,,
-6.2905848,53.3436094,,
-6.2688589,53.3407133,,
-6.290486504,53.33437471,,
-6.275961399,53.33447367,,
-6.0957426,53.5215761,,
-6.268468,53.344624,,
-6.287856415,53.34024054,,
-6.295948866,53.33794147,,
-6.289769056,53.339133,,
-6.2811198,53.3371476,,
-6.243578195,53.28061705,,
-6.242264,53.288634,,
-6.242009,53.288916,,
-6.235792637,53.2864314,,
-6.236958,53.286535,,
-6.23825,53.292411,,
-6.245494,53.29473,,
-6.242331862,53.28052411,,
-6.2447162,53.2952393,,
-6.243231,53.283286,,
-6.2421006,53.2887303,,
-6.234582,53.28538,,
-6.234778,53.286403,,
-6.136249,53.294943,,
-6.134012998,53.29354292,,
-6.135521472,53.29273126,,
-6.129909,53.291825,,
-6.137106,53.295991,,
-6.142157,53.269948,,
-6.142159,53.295806,,
-6.136443,53.295942,,
-6.156134,53.281101,,
-6.142157,53.269948,,
-6.137106,53.295991,,
-6.146728,53.295465,,
-6.13375,53.293483,,
-6.142912,53.269103,,
-6.135141,53.290861,,
-6.144162,53.289905,,
-6.132005,53.2899109,,
-6.1423032,53.2712731,,
-6.134490967,53.2949007,,
-6.142162085,53.28674311,,
-6.142162085,53.28674311,,
-6.142162085,53.28674311,,
-6.140254794,53.28236416,,
-6.230032,53.352891,,
-6.235781908,53.35819728,,
-6.239562,53.364091,,
-6.238987,53.364037,,
-6.244225502,53.36356273,,
-6.293878,53.401148,,
-6.2993465,53.4025361,,
-6.299674273,53.39285459,,
-6.2897619,53.3817894,,
-6.299225,53.392517,,
-6.288829208,53.3808946,,
-6.289061308,53.40569318,,
-6.180260181,53.26608564,,
-6.181218,53.264104,,
-6.2766741,53.3768281,,
-6.277882,53.377308,,
